sample-id,source,dry-mass,quality-ng-ul,sample-num,clean,collect-date,source-year,collect-time,x-decimal-deg,y-decimal-deg
CONI-RSM1151-2,RSM,0.034,6.01,2,NA,1/16/2022,RSM-2,22:24,-27.52477,-56.61921
CONI-RSM1151-3,RSM,0.004,12,3,n,2/6/2022,RSM-2,21:32,-27.52405,-56.61768
CONI-RSM1152-1,RSM,0.018,0.202,1,n,1/31/2022,RSM-2,21:33,-27.52841,-56.59799
CONI-RSM1152-2,RSM,0.012,1.06,2,NA,2/2/2022,RSM-2,22:28,-27.52032,-56.60505
CONI-RSM1164,RSM,0.003,0.915,1,NA,2/15/2022,RSM-2,21:09,-27.51945,-56.60192
CONI-neg-1,Negative,NA,0,1,NA,9/2/2022,Negative,NA,NA,NA
CONI-neg-2,Negative,NA,0.037,1,NA,9/12/2022,Negative,NA,NA,NA
CONI-neg-3,Negative,NA,0.147,1,NA,9/14/2022,Negative,NA,NA,NA
CONI-neg-4,Negative,NA,0.088,1,NA,9/19/2022,Negative,NA,NA,NA
CONI-neg-5,Negative,NA,0,1,NA,9/16/2022,Negative,NA,NA,NA
CONI-neg-6,Negative,NA,0.003,1,NA,10/3/2022,Negative,NA,NA,NA
CONI-neg-7,Negative,NA,0.032,1,NA,10/12/2022,Negative,NA,NA,NA
CONI-neg-8,Negative,NA,0.055,1,NA,10/17/2022,Negative,NA,NA,NA
CONI-neg-9,Negative,NA,0.068,1,NA,10/19/2022,Negative,NA,NA,NA
CONI-neg-10,Negative,NA,0.078,1,NA,10/24/2022,Negative,NA,NA,NA
CONI-neg-11,Negative,NA,0.052,1,NA,10/31/2022,Negative,NA,NA,NA
CONI-neg-12,Negative,NA,0.085,1,NA,11/2/2022,Negative,NA,NA,NA
CONI-neg-13,Negative,NA,0,1,NA,11/7/2022,Negative,NA,NA,NA
CONI-neg-14,Negative,NA,0.152,1,NA,11/9/2022,Negative,NA,NA,NA
CONI-BLANK-1,Negative,NA,NA,1,NA,12/1/2022,Negative,NA,NA,NA
CONI-BLANK-2,Negative,NA,NA,1,NA,12/2/2022,Negative,NA,NA,NA
